PERFIL CS,Massa Linear (Kg/m),Área(cm²),d (Altura do perfil mm),tw Espessura da Alma (mm),h (Distância entre mesas mm),tf Espessura da Mesa (mm),d' (Altura Livre da Alma-mm),bf (mm),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Cw (cm⁶),Esbeltez da Alma (d'/tw),Esbeltez da Mesa (bf/2tf), d/af (cm-1), ec (mm),u (Área de pintura - m²/m), u/A (m-1)
CS 600x250,"249,6","317,9",600,16,562,19,562,600,216146,7205,"26,08",7887,68419,2281,"14,67",3456,"16,28",354,57722931,35,"15,8","0,526",6,"3,57",112
CS 600x281,"280,7","357,6",600,16,555,"22,4",555,600,248024,8267,"26,34",8995,80659,2689,"15,02",4068,"16,44",528,67258147,35,"13,4","0,446",8,"3,57",100
CS 600x294,"293,8","374,3",600,19,555,"22,4",555,600,252298,8410,"25,96",9226,80672,2689,"14,68",4082,"16,29",582,67258147,29,"13,4","0,446",8,"3,56",95
CS 600x305,"304,6",388,600,16,550,25,550,600,270308,9010,"26,39",9835,90019,3001,"15,23",4535,"16,53",704,74390625,34,12,"0,4",8,"3,57",92
CS 600x318,"317,5","404,5",600,19,550,25,550,600,274468,9149,"26,05",10062,90031,3001,"14,92",4550,"16,4",757,74390625,29,12,"0,4",8,"3,56",88
CS 600x332,"332,2","423,2",600,"22,4",550,25,550,600,279182,9306,"25,68",10319,90052,3002,"14,59",4569,"16,25",840,74390625,25,12,"0,4",8,"3,56",84
CS 600x377,"376,8",480,600,19,537,"31,5",537,600,330248,11008,"26,23",12114,113431,3781,"15,37",5718,"16,59",1380,91625003,28,"9,5","0,317",8,"3,56",74
CS 600x391,"391,2","498,3",600,"22,4",537,"31,5",537,600,334635,11155,"25,91",12360,113450,3782,"15,09",5737,"16,47",1463,91625003,24,"9,5","0,317",8,"3,56",71
CS 600x402,"402,2","512,3",600,25,537,"31,5",537,600,337991,11266,"25,69",12547,113470,3782,"14,88",5754,"16,38",1546,91625003,21,"9,5","0,317",8,"3,55",69
CS 600x432,"431,6","549,8",600,19,525,"37,5",525,600,379396,12647,"26,27",13965,135030,4501,"15,67",6797,"16,71",2238,106787109,28,8,"0,267",8,"3,56",65
CS 600x446,"445,6","567,6",600,"22,4",525,"37,5",525,600,383496,12783,"25,99",14200,135049,4502,"15,42",6816,"16,61",2320,106787109,23,8,"0,267",8,"3,56",63
CS 600x456,"456,3","581,3",600,25,525,"37,5",525,600,386631,12888,"25,79",14379,135068,4502,"15,24",6832,"16,54",2402,106787109,21,8,"0,267",8,"3,55",61
CS 600x483,"483,1","615,4",600,"31,5",525,"37,5",525,600,394469,13149,"25,32",14827,135137,4505,"14,82",6880,"16,35",2695,106787109,17,8,"0,267",8,"3,54",58
CS 600x546,"545,6",695,600,"31,5",511,"44,5",511,600,447862,14929,"25,39",16888,160333,5344,"15,19",8137,"16,51",4104,123586390,16,"6,7","0,225",8,"3,54",51
CS 650x305,"304,6",388,650,16,605,"22,4",605,650,317584,9772,"28,61",10602,102547,3155,"16,26",4771,"17,8",573,100958460,38,"14,5","0,446",8,"3,87",100
CS 650x319,"318,9","406,2",650,19,605,"22,4",605,650,323120,9942,"28,2",10876,102561,3156,"15,89",4787,"17,64",631,100958460,32,"14,5","0,446",8,"3,86",95
CS 650x330,"330,5",421,650,16,600,25,600,650,346352,10657,"28,68",11596,114448,3521,"16,49",5320,"17,9",762,111745199,38,13,"0,4",8,"3,87",92
CS 650x345,"344,6",439,650,19,600,25,600,650,351752,10823,"28,31",11866,114461,3522,"16,15",5335,"17,76",820,111745199,32,13,"0,4",8,"3,86",88
CS 650x361,"360,6","459,4",650,"22,4",600,25,600,650,357872,11011,"27,91",12172,114483,3523,"15,79",5357,"17,59",911,111745199,27,13,"0,4",8,"3,86",84
CS 650x395,"395,2","503,4",650,16,587,"31,5",587,650,418935,12890,"28,85",14042,144198,4437,"16,92",6692,"18,09",1439,137885561,37,"10,3","0,317",8,"3,87",77
CS 650x409,409,521,650,19,587,"31,5",587,650,423991,13046,"28,53",14300,144212,4437,"16,64",6707,"17,97",1496,137885561,31,"10,3","0,317",8,"3,86",74
CS 650x425,"424,7",541,650,"22,4",587,"31,5",587,650,429722,13222,"28,18",14593,144233,4438,"16,33",6728,"17,83",1586,137885561,26,"10,3","0,317",8,"3,86",71
CS 650x437,"436,7","556,3",650,25,587,"31,5",587,650,434104,13357,"27,93",14817,144255,4439,"16,1",6746,"17,74",1677,137885561,23,"10,3","0,317",8,"3,85",69
CS 650x468,"468,5","596,8",650,19,575,"37,5",575,650,487894,15012,"28,59",16500,171673,5282,"16,96",7974,"18,1",2425,160980133,30,"8,7","0,267",8,"3,86",65
CS 650x484,"483,8","616,3",650,"22,4",575,"37,5",575,650,493280,15178,"28,29",16781,171694,5283,"16,69",7994,"17,99",2515,160980133,26,"8,7","0,267",8,"3,86",63
CS 650x496,"495,6","631,3",650,25,575,"37,5",575,650,497399,15305,"28,07",16996,171715,5284,"16,49",8012,"17,91",2604,160980133,23,"8,7","0,267",8,"3,85",61
CS 650x525,"524,9","668,6",650,"31,5",575,"37,5",575,650,507697,15621,"27,56",17533,171790,5286,"16,03",8065,"17,7",2923,160980133,18,"8,7","0,267",8,"3,84",57
CS 650x593,"592,8","755,2",650,"31,5",561,"44,5",561,650,577540,17770,"27,65",19993,203826,6272,"16,43",9540,"17,88",4449,186688314,18,"7,3","0,225",8,"3,84",51
CS 700x389,389,"495,6",700,"22,4",650,25,650,700,450118,12861,"30,14",14179,142978,4085,"16,99",6207,"18,94",982,162791016,29,14,"0,4",8,"4,16",84
CS 700x426,"426,2","542,9",700,16,637,"31,5",637,700,527527,15072,"31,17",16364,180097,5146,"18,21",7758,"19,47",1550,201185305,40,"11,1","0,317",8,"4,17",77
CS 700x441,"441,2",562,700,19,637,"31,5",637,700,533989,15257,"30,82",16668,180111,5146,"17,9",7775,"19,34",1611,201185305,34,"11,1","0,317",8,"4,16",74
CS 700x458,"458,2","583,7",700,"22,4",637,"31,5",637,700,541312,15466,"30,45",17013,180135,5147,"17,57",7797,"19,2",1709,201185305,28,"11,1","0,317",8,"4,16",71
CS 700x471,"471,2","600,3",700,25,637,"31,5",637,700,546912,15626,"30,18",17276,180158,5147,"17,32",7817,"19,09",1807,201185305,25,"11,1","0,317",8,"4,15",69
CS 700x505,"505,4","643,8",700,19,625,"37,5",625,700,615335,17581,"30,92",19246,214411,6126,"18,25",9244,"19,49",2612,235226318,33,"9,3","0,267",8,"4,16",65
CS 700x522,522,665,700,"22,4",625,"37,5",625,700,622253,17779,"30,59",19578,214434,6127,"17,96",9266,"19,37",2709,235226318,28,"9,3","0,267",8,"4,16",63
CS 700x535,"534,8","681,3",700,25,625,"37,5",625,700,627542,17930,"30,35",19832,214456,6127,"17,74",9285,"19,28",2806,235226318,25,"9,3","0,267",8,"4,15",61
CS 700x567,"566,7","721,9",700,"31,5",625,"37,5",625,700,640767,18308,"29,79",20467,214538,6130,"17,24",9343,"19,05",3151,235226318,20,"9,3","0,267",8,"4,14",57
CS 700x640,"640,2","815,5",700,"31,5",611,"44,5",611,700,730131,20861,"29,92",23359,254551,7273,"17,67",11054,"19,24",4795,273267687,19,"7,9","0,225",8,"4,14",51
CS 750x417,"417,5","531,8",750,"22,4",700,25,700,750,556995,14853,"32,36",16338,175847,4689,"18,18",7119,"20,28",1053,230987549,31,15,"0,4",8,"4,46",84
CS 750x457,"457,2","582,4",750,16,687,"31,5",687,750,653434,17425,"33,5",18862,221508,5907,"19,5",8903,"20,86",1661,285848980,43,"11,9","0,317",8,"4,47",77
CS 750x473,"473,4",603,750,19,687,"31,5",687,750,661540,17641,"33,12",19216,221524,5907,"19,17",8921,"20,72",1727,285848980,36,"11,9","0,317",8,"4,46",74
CS 750x492,"491,7","626,4",750,"22,4",687,"31,5",687,750,670727,17886,"32,72",19618,221549,5908,"18,81",8946,"20,56",1832,285848980,31,"11,9","0,317",8,"4,46",71
CS 750x506,"505,8","644,3",750,25,687,"31,5",687,750,677752,18073,"32,43",19924,221574,5909,"18,54",8967,"20,45",1937,285848980,27,"11,9","0,317",8,"4,45",69
CS 750x542,"542,3","690,8",750,19,675,"37,5",675,750,763246,20353,"33,24",22203,263710,7032,"19,54",10608,"20,87",2800,334636688,36,10,"0,267",8,"4,46",65
CS 750x560,"560,3","713,7",750,"22,4",675,"37,5",675,750,771960,20586,"32,89",22591,263735,7033,"19,22",10632,"20,74",2904,334636688,30,10,"0,267",8,"4,46",62
CS 750x574,"574,1","731,3",750,25,675,"37,5",675,750,778623,20763,"32,63",22887,263760,7034,"18,99",10652,"20,64",3008,334636688,27,10,"0,267",8,"4,45",61
CS 750x608,"608,5","775,1",750,"31,5",675,"37,5",675,750,795282,21208,"32,03",23627,263848,7036,"18,45",10714,"20,41",3379,334636688,21,10,"0,267",8,"4,44",57
CS 750x687,"687,4","875,7",750,"31,5",661,"44,5",661,750,907500,24200,"32,19",26987,313063,8348,"18,91",12680,"20,61",5141,389337823,21,"8,4","0,225",8,"4,44",51
